,name_list_1,name_list_2,postcode,query,sn,geometry,country,json_data
23,McDonald’s Causeway Point,1 Woodlands Square #01-35 Causeway Point,Singapore 738099,"1 Woodlands Square #01-35 Causeway Point, Singapore 738099",23,POINT (103.78577 1.436349),Singapore,"{'data': [{'latitude': 1.436349, 'longitude': 103.78577, 'type': 'address', 'name': 'No. 1 Woodlands Square', 'number': 'No. 1', 'postal_code': '738099', 'street': 'Woodlands Square', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'No. 1 Woodlands Square, Singapore'}, {'latitude': 1.436185, 'longitude': 103.785816, 'type': 'address', 'name': '1 Woodlands Square', 'number': '1', 'postal_code': '738099', 'street': 'Woodlands Square', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Woodlands Square, Singapore'}, {'latitude': 1.435799, 'longitude': 103.785587, 'type': 'address', 'name': 'B1-23 1 Woodlands Square', 'number': 'B1-23', 'postal_code': '738099', 'street': '1 Woodlands Square', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'B1-23 1 Woodlands Square, Singapore'}, {'latitude': 1.436358, 'longitude': 103.78637, 'type': 'address', 'name': '1 1 Woodlands Square, #02 - 33 & #02 - K02', 'number': '1', 'postal_code': '738099', 'street': '1 Woodlands Square, #02 - 33 & #02 - K02', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 1 Woodlands Square, #02 - 33 & #02 - K02, Singapore'}]}"
24,McDonald’s Changi City Point,5 Changi Business Park Central 1 #01-10/11 Changi City Point,Singapore 486038,"5 Changi Business Park Central 1 #01-10/11 Changi City Point, Singapore 486038",24,POINT (103.965903 1.337779),Singapore,"{'data': [{'latitude': 1.337779, 'longitude': 103.965903, 'type': 'address', 'name': '5 Changi Business Park Vista', 'number': '5', 'postal_code': None, 'street': 'Changi Business Park Vista', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '5 Changi Business Park Vista, Singapore'}, {'latitude': 1.334088, 'longitude': 103.962934, 'type': 'address', 'name': '5 Changi Business Park Central 1', 'number': '5', 'postal_code': None, 'street': 'Changi Business Park Central 1', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '5 Changi Business Park Central 1, Singapore'}, {'latitude': 1.336021, 'longitude': 103.964037, 'type': 'address', 'name': '5 Changi Business Park Avenue 1', 'number': '5', 'postal_code': None, 'street': 'Changi Business Park Avenue 1', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '5 Changi Business Park Avenue 1, Singapore'}, {'latitude': 1.334045, 'longitude': 103.962964, 'type': 'address', 'name': '5 Changi Business Park Central 1, #01-41', 'number': '5', 'postal_code': '486038', 'street': 'Changi Business Park Central 1, #01-41', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '5 Changi Business Park Central 1, #01-41, Singapore'}, {'latitude': 1.334449, 'longitude': 103.962887, 'type': 'address', 'name': '01-16 5 Changi Business Park Central 1, Changi City Point', 'number': '01-16', 'postal_code': '486038', 'street': '5 Changi Business Park Central 1, Changi City Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-16 5 Changi Business Park Central 1, Changi City Point, Singapore'}, {'latitude': 1.334179, 'longitude': 103.962221, 'type': 'address', 'name': 'B1-36 5 Changi Business Park Central 1, Changi City Point', 'number': 'B1-36', 'postal_code': '486038', 'street': '5 Changi Business Park Central 1, Changi City Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': 'B1-36 5 Changi Business Park Central 1, Changi City Point, Singapore'}, {'latitude': 1.334553, 'longitude': 103.962398, 'type': 'address', 'name': '01 - 12 5 Changi Business Park Central 1, Changi City Point', 'number': '01 - 12', 'postal_code': '486038', 'street': '5 Changi Business Park Central 1, Changi City Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01 - 12 5 Changi Business Park Central 1, Changi City Point, Singapore'}, {'latitude': 1.334512, 'longitude': 103.962243, 'type': 'address', 'name': '01-24/45 5 Changi Business Park Central 1, Changi City Point', 'number': '01-24/45', 'postal_code': '486038', 'street': '5 Changi Business Park Central 1, Changi City Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-24/45 5 Changi Business Park Central 1, Changi City Point, Singapore'}, {'latitude': 1.334835, 'longitude': 103.966571, 'type': 'address', 'name': '7 Changi Business Park Crescent', 'number': '7', 'postal_code': None, 'street': 'Changi Business Park Crescent', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '7 Changi Business Park Crescent, Singapore'}, {'latitude': 1.333382, 'longitude': 103.965686, 'type': 'address', 'name': '1 Changi Business Park Crescent', 'number': '1', 'postal_code': None, 'street': 'Changi Business Park Crescent', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Changi Business Park Crescent, Singapore'}]}"
25,McDonald’s Chinatown Point,133 New Bridge Road #01-03 Chinatown Point,Singapore 059432,"133 New Bridge Road #01-03 Chinatown Point, Singapore 059432",25,POINT (103.844621 1.285182),Singapore,"{'data': [{'latitude': 1.285182, 'longitude': 103.844621, 'type': 'address', 'name': '133 New Bridge Road', 'number': '133', 'postal_code': '059413', 'street': 'New Bridge Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '133 New Bridge Road, Singapore'}, {'latitude': 33.581784, 'longitude': -81.680619, 'type': 'address', 'name': '133 New Bridge Rd', 'number': '133', 'postal_code': '29801', 'street': 'New Bridge Rd', 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Aiken County', 'locality': 'Aiken', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '133 New Bridge Rd, Aiken, SC, USA'}, {'latitude': 1.28557, 'longitude': 103.84626, 'type': 'address', 'name': '133 New Bridge Road', 'number': '133', 'postal_code': '59413', 'street': 'New Bridge Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '133 New Bridge Road, Singapore'}, {'latitude': 1.285112, 'longitude': 103.844614, 'type': 'address', 'name': '133 New Bridge Rd, #02-55 Chinatown Point', 'number': '133', 'postal_code': '059413', 'street': 'New Bridge Rd, #02-55 Chinatown Point', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '133 New Bridge Rd, #02-55 Chinatown Point, Singapore'}, {'latitude': 34.676044, 'longitude': -82.266689, 'type': 'address', 'name': '133 New Harrison Bridge Rd', 'number': '133', 'postal_code': '29680', 'street': 'New Harrison Bridge Rd', 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Greenville County', 'locality': 'Simpsonville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '133 New Harrison Bridge Rd, Simpsonville, SC, USA'}]}"
26,McDonald’s Choa Chu Kang 62,Blk 624 Choa Chu Kang Street 62 #01-262/264. Singapore 680624,Singapore 680623,"Blk 624 Choa Chu Kang Street 62 #01-262/264. Singapore 680624, Singapore 680623",26,POINT (103.746902 1.397987),Singapore,"{'data': [{'latitude': 1.397987, 'longitude': 103.746902, 'type': 'address', 'name': '624 Choa Chu Kang Street 62', 'number': '624', 'postal_code': '680624', 'street': 'Choa Chu Kang Street 62', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '624 Choa Chu Kang Street 62, Singapore'}]}"
27,McDonald’s Choa Chu Kang 4,21 Choa Chu Kang Avenue 4 Lot 1 Shopper's Mall #01-20,Singapore 689812,"21 Choa Chu Kang Avenue 4 Lot 1 Shopper's Mall #01-20, Singapore 689812",27,POINT (103.744925 1.385003),Singapore,"{'data': [{'latitude': 1.385003, 'longitude': 103.744925, 'type': 'venue', 'name': ""Lot One Shoppers' Mall"", 'number': '21', 'postal_code': '689812', 'street': 'Choa Chu Kang Avenue 4', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': ""Lot One Shoppers' Mall, Singapore""}, {'latitude': 49.824097, 'longitude': -99.963478, 'type': 'venue', 'name': 'Brandon Shoppers Mall', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Manitoba', 'region_code': 'MB', 'county': 'Division No. 7', 'locality': 'Brandon', 'administrative_area': None, 'neighbourhood': None, 'country': 'Canada', 'country_code': 'CAN', 'continent': 'North America', 'label': 'Brandon Shoppers Mall, Brandon, MB, Canada'}, {'latitude': 13.825076, 'longitude': 121.392472, 'type': 'venue', 'name': 'Saveway Shoppers Mall', 'number': None, 'postal_code': '4226', 'street': 'Kalayaan', 'confidence': 1, 'region': 'Batangas', 'region_code': 'BT', 'county': 'San Juan', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Philippines', 'country_code': 'PHL', 'continent': 'Asia', 'label': 'Saveway Shoppers Mall, BT, Philippines'}, {'latitude': 49.184424, 'longitude': -99.664545, 'type': 'venue', 'name': ""Killarney Shopper's Mall"", 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Manitoba', 'region_code': 'MB', 'county': 'Division No. 5', 'locality': 'Killarney-Turtle Mountain', 'administrative_area': None, 'neighbourhood': None, 'country': 'Canada', 'country_code': 'CAN', 'continent': 'North America', 'label': ""Killarney Shopper's Mall, Killarney-Turtle Mountain, MB, Canada""}, {'latitude': 49.145444, 'longitude': -102.9784, 'type': 'venue', 'name': 'Estevan Shoppers Mall', 'number': '400', 'postal_code': 'S4A 2B4', 'street': 'King Street', 'confidence': 1, 'region': 'Saskatchewan', 'region_code': 'SK', 'county': 'Division No. 1', 'locality': 'Estevan', 'administrative_area': None, 'neighbourhood': None, 'country': 'Canada', 'country_code': 'CAN', 'continent': 'North America', 'label': 'Estevan Shoppers Mall, Estevan, SK, Canada'}, {'latitude': 49.850551, 'longitude': -100.931853, 'type': 'venue', 'name': 'Virden Shoppers Mall', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Manitoba', 'region_code': 'MB', 'county': 'Division No. 6', 'locality': 'Virden', 'administrative_area': None, 'neighbourhood': None, 'country': 'Canada', 'country_code': 'CAN', 'continent': 'North America', 'label': 'Virden Shoppers Mall, Virden, MB, Canada'}, {'latitude': 13.879965, 'longitude': 120.917344, 'type': 'venue', 'name': 'Saveway Shoppers Mall', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Batangas', 'region_code': 'BT', 'county': 'Taal', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'Philippines', 'country_code': 'PHL', 'continent': 'Asia', 'label': 'Saveway Shoppers Mall, BT, Philippines'}, {'latitude': 1.384615, 'longitude': 103.74496, 'type': 'venue', 'name': ""Lot 1 Shoppers' Mall"", 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': ""Lot 1 Shoppers' Mall, Singapore""}, {'latitude': 49.823613, 'longitude': -99.964478, 'type': 'venue', 'name': 'Shoppers Mall Food Court', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Manitoba', 'region_code': 'MB', 'county': 'Division No. 7', 'locality': 'Brandon', 'administrative_area': None, 'neighbourhood': None, 'country': 'Canada', 'country_code': 'CAN', 'continent': 'North America', 'label': 'Shoppers Mall Food Court, Brandon, MB, Canada'}, {'latitude': 14.651341, 'longitude': 120.984241, 'type': 'venue', 'name': ""10th Avenue Shopper's Mall"", 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'National Capital District', 'region_code': None, 'county': None, 'locality': 'Caloocan', 'administrative_area': None, 'neighbourhood': 'Obrero', 'country': 'Philippines', 'country_code': 'PHL', 'continent': 'Asia', 'label': ""10th Avenue Shopper's Mall, Caloocan, Philippines""}]}"
28,McDonald’s Choa Chu Kang 4 (Kiosk),10 Choa Chu Kang Avenue 4 #01-21 Cold Kiosk at Choa Chu Kang MRT Station,Singapore 689810,"10 Choa Chu Kang Avenue 4 #01-21 Cold Kiosk at Choa Chu Kang MRT Station, Singapore 689810",28,POINT (103.744285 1.385455),Singapore,"{'data': [{'latitude': 1.385455, 'longitude': 103.744285, 'type': 'address', 'name': '10 Choa Chu Kang Avenue 4', 'number': '10', 'postal_code': '689810', 'street': 'Choa Chu Kang Avenue 4', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Choa Chu Kang Avenue 4, Singapore'}]}"
29,McDonald’s Chua Chu Kang CC,35 Teck Whye Avenue #01-01 Chua Chu Kang Community Club,Singapore 688892,"35 Teck Whye Avenue #01-01 Chua Chu Kang Community Club, Singapore 688892",29,POINT (103.751936 1.381326),Singapore,"{'data': [{'latitude': 1.381326, 'longitude': 103.751936, 'type': 'address', 'name': '35 Teck Whye Avenue', 'number': '35', 'postal_code': '688892', 'street': 'Teck Whye Avenue', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '35 Teck Whye Avenue, Singapore'}]}"
31,McDonald’s Clementi Avenue 3,451 Clementi Ave 3 # 01-309,Singapore 120451,"451 Clementi Ave 3 # 01-309, Singapore 120451",31,POINT (103.765696 1.312642),Singapore,"{'data': [{'latitude': 1.312642, 'longitude': 103.765696, 'type': 'address', 'name': '451 Clementi Avenue 3', 'number': '451', 'postal_code': '120451', 'street': 'Clementi Avenue 3', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '451 Clementi Avenue 3, Singapore'}]}"
32,McDonald’s Clementi Mall,3155 Commonwealth Ave West #01-06/07/08/09 &02-06/07/08 The Clementi Mall,Singapore 129588,"3155 Commonwealth Ave West #01-06/07/08/09 &02-06/07/08 The Clementi Mall, Singapore 129588",32,POINT (103.764247 1.314791),Singapore,"{'data': [{'latitude': 1.314791, 'longitude': 103.764247, 'type': 'address', 'name': '3155 Commonwealth Avenue West', 'number': '3155', 'postal_code': '129588', 'street': 'Commonwealth Avenue West', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '3155 Commonwealth Avenue West, Singapore'}, {'latitude': 1.315574, 'longitude': 103.764503, 'type': 'address', 'name': '3155, #03-K1/K3 Commonwealth Avenue West', 'number': '3155, #03-K1/K3', 'postal_code': '129588', 'street': 'Commonwealth Avenue West', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '3155, #03-K1/K3 Commonwealth Avenue West, Singapore'}, {'latitude': 1.315488, 'longitude': 103.764576, 'type': 'address', 'name': '3155 Commonwealth Ave W, #05-01 to 05 The Clementi Mall S', 'number': '3155', 'postal_code': '129588', 'street': 'Commonwealth Ave W, #05-01 to 05 The Clementi Mall S', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '3155 Commonwealth Ave W, #05-01 to 05 The Clementi Mall S, Singapore'}]}"
33,McDonald’s Clifford Centre,24 Raffles place Singapore 048621 #B1-01/10 Clifford centre,Singapore 048621,"24 Raffles place Singapore 048621 #B1-01/10 Clifford centre, Singapore 048621",33,POINT (103.85213 1.283856),Singapore,"{'data': [{'latitude': 1.283856, 'longitude': 103.85213, 'type': 'address', 'name': '24 Raffles Place', 'number': '24', 'postal_code': None, 'street': 'Raffles Place', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '24 Raffles Place, Singapore'}]}"
34,McDonald’s Compass 1,1 Sengkang Square #B1-13,Singapore 545078,"1 Sengkang Square #B1-13, Singapore 545078",34,POINT (103.895331 1.392393),Singapore,"{'data': [{'latitude': 1.392393, 'longitude': 103.895331, 'type': 'address', 'name': '1 Sengkang Square', 'number': '1', 'postal_code': '545078', 'street': 'Sengkang Square', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Sengkang Square, Singapore'}]}"
35,McDonald’s Downtown East,1 Pasir Ris Close #01-338 Downtown East,Singapore 519599,"1 Pasir Ris Close #01-338 Downtown East, Singapore 519599",35,POINT (103.955297 1.377757),Singapore,"{'data': [{'latitude': 1.377757, 'longitude': 103.955297, 'type': 'address', 'name': '1 Pasir Ris Close', 'number': '1', 'postal_code': '519599', 'street': 'Pasir Ris Close', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Pasir Ris Close, Singapore'}]}"
36,McDonald’s East Point Mall,"3 Simei Street 6, #01-34 Eastpoint Mall",Singapore 528833,"3 Simei Street 6, #01-34 Eastpoint Mall, Singapore 528833",36,POINT (103.95297 1.34281),Singapore,"{'data': [{'latitude': 1.34281, 'longitude': 103.95297, 'type': 'address', 'name': '3 Simei Street 6', 'number': '3', 'postal_code': '528833', 'street': 'Simei Street 6', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '3 Simei Street 6, Singapore'}, {'latitude': 1.342768, 'longitude': 103.953377, 'type': 'address', 'name': '3 #01-34 Simei Street 6', 'number': '3 #01-34', 'postal_code': '528833', 'street': 'Simei Street 6', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '3 #01-34 Simei Street 6, Singapore'}]}"
37,McDonald’s Elias Community Centre,93 Pasir Ris Drive 3 #01-02 Pasir Ris Elias Community Centre,Singapore 519498,"93 Pasir Ris Drive 3 #01-02 Pasir Ris Elias Community Centre, Singapore 519498",37,POINT (103.94257 1.378427),Singapore,"{'data': [{'latitude': 1.378427, 'longitude': 103.94257, 'type': 'address', 'name': '93 Pasir Ris Drive 3', 'number': '93', 'postal_code': '519498', 'street': 'Pasir Ris Drive 3', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '93 Pasir Ris Drive 3, Singapore'}]}"
38,McDonald’s Fairprice Hub,"1 Joo Koon Circle, Provisional Unit #01-27/28/29/30/31",Singapore 629117,"1 Joo Koon Circle, Provisional Unit #01-27/28/29/30/31, Singapore 629117",38,POINT (103.678488 1.325625),Singapore,"{'data': [{'latitude': 1.325625, 'longitude': 103.678488, 'type': 'address', 'name': '1 Joo Koon Circle', 'number': '1', 'postal_code': '628117', 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '1 Joo Koon Circle, Singapore'}, {'latitude': 1.326383, 'longitude': 103.678539, 'type': 'address', 'name': '01-44/46 1 Joo Koon Circle, Fairprice Hub', 'number': '01-44/46', 'postal_code': '629117', 'street': '1 Joo Koon Circle, Fairprice Hub', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '01-44/46 1 Joo Koon Circle, Fairprice Hub, Singapore'}, {'latitude': 1.325737, 'longitude': 103.673527, 'type': 'address', 'name': '14 Joo Koon Circle', 'number': '14', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '14 Joo Koon Circle, Singapore'}, {'latitude': 1.324267, 'longitude': 103.673394, 'type': 'address', 'name': '16A Joo Koon Circle', 'number': '16A', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '16A Joo Koon Circle, Singapore'}, {'latitude': 1.324331, 'longitude': 103.674093, 'type': 'address', 'name': '12 Joo Koon Circle', 'number': '12', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '12 Joo Koon Circle, Singapore'}, {'latitude': 1.324912, 'longitude': 103.672154, 'type': 'address', 'name': '18 Joo Koon Circle', 'number': '18', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '18 Joo Koon Circle, Singapore'}, {'latitude': 1.324439, 'longitude': 103.675411, 'type': 'address', 'name': '10 Joo Koon Circle', 'number': '10', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '10 Joo Koon Circle, Singapore'}, {'latitude': 1.322804, 'longitude': 103.674463, 'type': 'address', 'name': '11 Joo Koon Circle', 'number': '11', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '11 Joo Koon Circle, Singapore'}, {'latitude': 1.323881, 'longitude': 103.673611, 'type': 'address', 'name': '15 Joo Koon Circle', 'number': '15', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '15 Joo Koon Circle, Singapore'}, {'latitude': 1.324716, 'longitude': 103.672826, 'type': 'address', 'name': '16 Joo Koon Circle', 'number': '16', 'postal_code': None, 'street': 'Joo Koon Circle', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '16 Joo Koon Circle, Singapore'}]}"
39,McDonald’s Fajar,445 Fajar Road #01-520,Singapore 670445,"445 Fajar Road #01-520, Singapore 670445",39,POINT (103.770611 1.383662),Singapore,"{'data': [{'latitude': 1.383662, 'longitude': 103.770611, 'type': 'address', 'name': '445 Fajar Road', 'number': '445', 'postal_code': '670445', 'street': 'Fajar Road', 'confidence': 1, 'region': 'Central Singapore', 'region_code': 'CS', 'county': None, 'locality': 'Singapore', 'administrative_area': None, 'neighbourhood': None, 'country': 'Singapore', 'country_code': 'SGP', 'continent': 'Asia', 'label': '445 Fajar Road, Singapore'}]}"
